url_path,views_total,views_unique
/jbrzensk/rockfish_helpers/tree/main/python,7,1
/jbrzensk/rockfish_helpers/blob/main/ssh/ssh_keygen.md,5,2
/jbrzensk/rockfish_helpers/tree/main/ssh,4,2
/jbrzensk/rockfish_helpers/blob/main/python/jupyter_notebook_helper.sh,3,1
/jbrzensk/rockfish_helpers,2,2
/jbrzensk/rockfish_helpers/blob/main/bash,1,1
/jbrzensk/rockfish_helpers/blob/main/modules/monkfish_modules.md,1,1
/jbrzensk/rockfish_helpers/blob/main/netcdf/VolMP/plankton_extractor.sh,1,1
/jbrzensk/rockfish_helpers/blob/main/netcdf/netcdf_combiner.sh,1,1
/jbrzensk/rockfish_helpers/blob/main/python/environment_builder.sh,1,1
